Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,P_rx (dBm),Comments
H-6,15.8019,0,0,0,1,0,0,-69,
I-6,15.1494,0,0,0,1,0,0,-73,
J-6,14.5938,0,0,0,1,1,0,-82,
N-6,13.5500,0,0,1,0,1,0,-80,
O-6,13.6176,0,0,1,0,1,0,-70,
P-6,13.8183,0,0,1,0,1,0,-77,
Q-6,14.1466,0,0,1,0,0,0,-70,
R-6,14.5938,0,0,1,0,0,0,-66,
V-6,17.3525,0,0,1,2,0,0,-72,
W-6,18.2297,0,0,1,2,0,0,-71,
A-7,21.4244,0,0,0,1,1,0,-72,
B-7,20.3250,0,0,0,1,1,0,-73,
C-7,19.2582,0,0,0,1,1,0,-68,
D-7,18.2297,0,0,0,1,1,0,-70,
E-7,17.2463,0,0,0,1,0,0,-69,
F-7,16.3164,0,0,0,1,0,0,-63,
G-7,15.4494,0,0,0,1,0,0,-77,
H-7,14.6566,0,0,0,1,0,0,-75,
I-7,13.9506,0,0,0,1,0,0,-69,
J-7,13.3452,0,0,0,1,1,0,-78,
K-7,12.8547,0,0,0,1,0,0,-62,
O-7,12.2700,0,0,1,0,1,0,-71,
P-7,12.4925,0,0,1,0,0,0,-70,
Q-7,12.8547,0,0,1,0,0,0,-82,
R-7,13.3452,0,0,1,0,0,0,-76,
S-7,13.9506,0,0,1,0,0,0,-74,
V-7,16.3164,0,0,1,2,0,0,-82,
W-7,17.2463,0,0,1,2,0,0,-75,
A-8,20.6832,1,0,0,1,1,0,-78,
B-8,19.5421,1,0,0,1,1,0,-77,
C-8,18.4300,0,0,0,1,1,0,-75,
D-8,17.3525,0,0,0,1,1,0,-69,
E-8,16.3164,0,0,0,1,2,0,-78,
F-8,15.3301,0,0,0,1,0,0,-64,
G-8,14.4038,0,0,0,1,0,0,-69,
H-8,13.5500,0,0,0,1,0,0,-72,
I-8,12.7830,0,0,0,1,0,0,-69,
J-8,12.1195,0,0,0,1,0,0,-68,
K-8,11.5771,0,0,0,1,0,0,-65,
L-8,11.1736,0,0,0,1,0,0,-75,
M-8,10.9244,0,0,0,1,0,0,-68,
N-8,10.8400,0,0,1,0,1,0,-72,
O-8,10.9244,0,0,1,0,1,0,-59,
P-8,11.1736,0,0,1,0,0,0,-64,
Q-8,11.5771,0,0,1,0,0,0,-61,
R-8,12.1195,0,0,1,0,0,0,-60,
V-8,15.3301,0,0,1,2,0,0,-82,
W-8,16.3164,0,0,1,2,0,0,-77,
A-9,20.0063,2,0,0,1,0,1,-70,
B-9,18.8243,2,0,0,1,0,1,-70,
C-9,17.6670,2,0,0,1,1,1,-75,
D-9,16.5399,0,0,0,1,1,0,-73,
E-9,15.4494,0,0,0,1,1,0,-68,
F-9,14.4038,0,0,0,1,2,0,-66,
G-9,13.4138,0,0,0,1,1,0,-63,
H-9,12.4925,0,0,0,1,0,0,-64,
I-9,11.6562,0,0,0,1,0,0,-58,
J-9,10.9244,0,0,0,1,0,0,-76,
K-9,10.3194,0,0,0,1,1,0,-64,
L-9,9.8645,0,0,0,1,0,0,-61,
M-9,9.5813,0,0,0,1,0,0,-67,Receiver reference at  -30 dBm
N-9,9.4850,0,0,1,0,1,0,-70,Receiver reference at  -30 dBm
O-9,9.5813,0,0,1,0,1,0,-54,Receiver reference at  -30 dBm
P-9,9.8645,0,0,1,0,0,0,-63,Receiver reference at  -30 dBm
Q-9,10.3194,0,0,1,0,0,0,-60,Receiver reference at  -30 dBm
R-9,10.9244,0,0,1,0,0,0,-67,
S-9,11.6562,0,0,0,3,1,0,-71,
T-9,12.4925,0,0,1,2,0,0,-71,
U-9,13.4138,0,0,1,2,0,0,-70,
V-9,14.4038,0,1,1,1,0,0,-71,
A-10,19.4006,2,0,0,1,0,1,-74,
B-10,18.1792,2,0,0,1,0,1,-83,
G-10,12.4925,0,0,0,1,1,0,-77,
H-10,11.4976,0,0,0,1,0,0,-69,
I-10,10.5829,0,0,0,1,0,0,-66,
J-10,9.7710,0,0,0,1,0,0,-66,
K-10,9.0896,0,0,0,1,0,0,-61,
L-10,8.5698,0,0,0,1,0,0,-61,
M-10,8.2421,0,0,0,1,0,0,-62,
N-10,8.1300,0,0,1,0,1,0,-61,
O-10,8.2421,0,0,1,0,1,0,-63,
P-10,8.5698,0,0,1,0,0,0,-62,
Q-10,9.0896,0,0,1,0,0,0,-63,
T-10,11.4976,0,0,0,2,0,0,-68,
U-10,12.4925,0,0,0,1,0,0,-61,
V-10,13.5500,0,0,0,2,0,0,-70,
A-11,18.8730,2,0,0,1,0,1,-74,
B-11,17.6150,2,0,0,1,0,1,-71,
C-11,16.3725,2,0,0,1,0,1,-82,
G-11,11.6562,0,0,0,1,1,0,-68,
H-11,10.5829,0,0,0,1,1,0,-64,
I-11,9.5813,0,0,0,1,0,0,-65,
J-11,8.6762,0,0,0,1,0,0,-60,
K-11,7.9009,0,0,0,1,0,0,-60,
L-11,7.2969,0,0,0,1,0,0,-62,
M-11,6.9092,0,0,1,0,0,0,-58,
N-11,6.7750,0,0,1,0,1,0,-64,
O-11,6.9092,0,0,1,0,1,0,-64,
P-11,7.2969,0,0,1,0,0,0,-70,
Q-11,7.9009,0,0,0,1,0,0,-62,
R-11,8.6762,0,0,0,1,0,0,-65,
T-11,10.5829,0,0,0,1,0,0,-68,
U-11,11.6562,0,0,0,1,1,0,-69,
V-11,12.7830,0,0,0,1,1,0,-64,
W-11,13.9506,0,0,0,3,0,0,-63,
A-12,18.4300,2,0,0,1,0,1,-73,
B-12,17.1395,2,0,0,1,0,1,-88,
C-12,15.8599,2,0,0,1,0,1,-89,
G-12,10.9244,0,0,0,1,1,0,-64,
H-12,9.7710,0,0,0,1,1,0,-68,
I-12,8.6762,0,0,0,1,1,0,-74,
J-12,7.6650,0,0,0,1,0,0,-60,
K-12,6.7750,0,0,0,1,0,0,-71,
L-12,6.0597,0,0,0,1,0,0,-61,
M-12,5.5868,0,0,1,0,0,0,-60,
N-12,5.4200,0,0,1,0,1,0,-60,
O-12,5.5868,0,0,1,0,1,0,-62,
P-12,6.0597,0,0,1,0,0,0,-58,
Q-12,6.7750,0,0,1,0,0,0,-57,
R-12,7.6650,0,0,0,1,0,0,-65,
S-12,8.6762,0,0,0,1,0,0,-66,
T-12,9.7710,0,0,0,1,0,0,-65,
U-12,10.9244,0,0,0,2,1,0,-75,
V-12,12.1195,0,0,1,2,0,0,-67,
A-13,18.0780,0,0,0,1,0,0,-71,
B-13,16.7604,0,0,0,1,0,0,-74,
C-13,15.4494,0,0,0,1,0,0,-79,
G-13,10.3194,0,0,0,1,0,0,-63,
H-13,9.0896,0,0,0,1,0,0,-61,
I-13,7.9009,0,0,0,1,1,0,-82,
J-13,6.7750,0,0,0,1,1,0,-77,
K-13,5.7488,0,0,0,1,0,0,-58,Receiver reference at  -30 dBm
L-13,4.8855,0,0,0,1,0,0,-61,Receiver reference at  -30 dBm
M-13,4.2849,0,0,1,0,0,0,-57,Receiver reference at  -30 dBm
N-13,4.0650,0,0,1,0,0,0,-60,Receiver reference at  -30 dBm
O-13,4.2849,0,0,1,0,0,0,-63,Receiver reference at  -30 dBm
P-13,4.8855,0,0,1,0,0,0,-60,Receiver reference at  -30 dBm
Q-13,5.7488,0,0,0,1,0,0,-66,Receiver reference at  -30 dBm
R-13,6.7750,0,0,0,1,0,0,-64,Receiver reference at  -30 dBm
S-13,7.9009,0,0,0,2,1,0,-72,
T-13,9.0896,0,0,0,2,0,0,-63,
U-13,10.3194,0,0,0,3,0,0,-71,
V-13,11.5771,0,0,0,3,0,0,-67,
W-13,12.8547,0,0,0,3,0,0,-66,
A-14,17.8222,0,0,0,1,1,0,-82,
