Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
A-15,14.61082561,3,1,0,0,0,-88,
B-15,14.3692806,3,1,0,0,0,-83,
C-15,14.1942321,3,1,0,0,0,-86,
D-15,14.08815904,3,1,0,0,0,-97,
E-15,14.05262342,3,1,0,0,0,-98,
F-15,14.08815904,3,0,0,0,0,-76,
G-15,14.1942321,2,0,0,0,0,-73,
H-15,14.3692806,2,0,0,0,0,-73,
I-15,14.61082561,3,0,0,0,0,-98,
J-15,14.91563693,3,0,0,0,0,-92,
L-15,15.6995613,3,0,0,0,0,-95,
A-16,13.65562979,3,1,0,0,0,-93,
B-16,13.3968737,3,1,0,0,0,-81,
C-16,13.20894489,3,1,0,0,0,-89,
D-16,13.09489309,3,1,0,0,0,-82,
E-16,13.05665443,3,1,0,0,0,-84,
F-16,13.09489309,3,0,0,0,0,-82,
G-16,13.20894489,2,0,0,0,0,-82,
H-16,13.3968737,2,0,0,0,0,-75,
I-16,13.65562979,3,0,0,0,0,-91,
J-16,13.98128124,3,0,0,0,0,-90,
A-17,12.70732958,3,1,0,0,0,-93,
B-17,12.42884649,3,1,0,0,0,-89,
C-17,12.22604699,3,1,0,0,0,-90,
D-17,12.10273626,3,1,0,0,0,-87,
E-17,12.06135254,3,1,0,0,0,-86,
F-17,12.10273626,3,0,0,0,0,-73,
G-17,12.22604699,2,0,0,0,0,-83,
H-17,12.42884649,2,0,0,0,0,-74,
J-17,13.05665443,2,0,0,0,0,-81,
K-17,13.47131118,2,0,0,0,0,-84,
M-17,14.47329351,1,1,0,0,0,-81,
N-17,15.04912705,1,1,0,0,0,-83,
O-17,15.66768091,1,1,0,0,0,-83,
P-17,16.32409952,2,0,0,0,0,-84,
A-18,11.76759215,3,1,0,0,0,-86,
B-18,11.46630826,3,1,0,0,0,-81,
C-18,11.2461649,3,1,0,0,0,-79,
D-18,11.11198565,3,1,0,0,0,-79,
E-18,11.06689771,3,1,0,0,0,-85,
F-18,11.11198565,3,0,0,0,0,-78,
G-18,11.2461649,2,0,0,0,0,-80,
H-18,11.46630826,2,0,0,0,0,-70,
J-18,12.14397896,2,0,0,0,0,-79,
K-18,12.58873405,2,0,0,0,0,-75,
M-18,13.65562979,1,1,0,0,0,-81,
N-18,14.26450928,1,1,0,0,0,-83,
D-19,10.12305413,2,0,0,0,0,-82,
E-19,10.07354084,2,0,0,0,0,-80,
F-19,10.12305413,2,0,0,0,0,-86,
G-19,10.27016188,2,0,0,0,0,-78,
H-19,10.5107671,1,0,0,0,0,-79,
J-19,11.2461649,2,0,0,0,0,-88,
K-19,11.72502559,2,0,0,0,0,-78,
L-19,12.26687511,1,1,0,0,0,-92,
M-19,12.86375626,1,1,0,0,0,-88,
N-19,13.50837611,1,0,0,0,0,-82,
O-19,14.1942321,2,0,0,0,0,-88,
P-19,14.91563693,2,0,,0,0,-84,
A-20,9.923518781,2,0,0,0,0,-81,
B-20,9.564320415,2,0,0,0,0,-71,
C-20,9.299259379,2,0,0,0,0,-79,
D-20,9.136532439,2,0,0,0,0,-78,
E-20,9.081642197,2,0,0,0,0,-89,
F-20,9.136532439,1,1,0,0,0,-73,
G-20,9.299259379,2,0,0,0,0,-78,
H-20,9.564320415,1,0,0,0,0,-69,
J-20,10.36707408,2,0,0,0,0,-88,
K-20,10.88467845,1,1,0,0,0,-74,
L-20,11.46630826,1,1,0,0,0,-83,
M-20,12.10273626,1,1,0,0,0,-78,
N-20,12.78578214,2,0,0,0,0,-82,
O-20,13.50837611,2,0,0,0,0,-79,
P-20,14.26450928,2,0,0,0,0,-89,
A-21,9.026418171,2,0,0,0,0,-82,
B-21,8.629960892,2,0,0,0,0,-76,
C-21,8.335239949,2,0,0,0,0,-81,
D-21,8.153295346,2,0,0,0,0,-76,
E-21,8.09173807,2,0,0,0,0,-81,
F-21,8.153295346,2,0,0,0,0,-72,
G-21,8.335239949,2,0,0,0,0,-76,
H-21,8.629960892,1,0,0,0,0,-82,
I-21,9.026418171,2,0,0,0,0,-85,
J-21,9.511899127,1,1,0,0,0,-75,
K-21,10.07354084,1,1,0,0,0,-77,
L-21,10.69935629,1,1,0,0,0,-81,
M-21,11.37876202,2,0,0,0,0,-82,
N-21,12.10273626,2,0,0,0,0,-85,
