Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,PL (dB),Comments
A-15,14.56021978,3,1,0,0,0,90,
B-15,14.31782106,3,1,0,0,0,99,
C-15,14.14213562,3,1,0,0,0,96,
D-15,14.03566885,3,1,0,0,0,95,
E-15,14,3,1,0,0,0,98,
F-15,14.03566885,3,0,0,0,0,84,
G-15,14.14213562,2,0,0,0,0,87,
H-15,14.31782106,2,0,0,0,0,86,
I-15,14.56021978,3,0,0,0,0,110,
J-15,14.86606875,3,0,0,0,0,109,
L-15,15.65247584,3,0,0,0,0,94,
A-16,13.60147051,3,1,0,0,0,93,
B-16,13.34166406,3,1,0,0,0,91,
C-16,13.15294644,3,1,0,0,0,91,
D-16,13.03840481,3,1,0,0,0,93,
E-16,13,3,1,0,0,0,88,
F-16,13.03840481,3,0,0,0,0,84,
G-16,13.15294644,2,0,0,0,0,89,
H-16,13.34166406,2,0,0,0,0,86,
I-16,13.60147051,3,0,0,0,0,88,
J-16,13.92838828,3,0,0,0,0,92,
A-17,12.64911064,3,1,0,0,0,92,
B-17,12.36931688,3,1,0,0,0,91,
C-17,12.16552506,3,1,0,0,0,95,
D-17,12.04159458,3,1,0,0,0,92,
E-17,12,3,1,0,0,0,93,
F-17,12.04159458,3,0,0,0,0,87,
G-17,12.16552506,2,0,0,0,0,92,
H-17,12.36931688,2,0,0,0,0,85,
I-17,12.64911064,2,0,0,0,0,104,
J-17,13,2,0,0,0,0,92,
K-17,13.41640786,2,0,0,0,0,88,
M-17,14.4222051,1,1,0,0,0,85,
N-17,15,1,1,0,0,0,97,
O-17,15.62049935,1,1,0,0,0,86,
P-17,16.2788206,2,0,0,0,0,82,
A-18,11.70469991,3,1,0,0,0,90,
B-18,11.40175425,3,1,0,0,0,94,
C-18,11.18033989,3,1,0,0,0,89,
D-18,11.04536102,3,1,0,0,0,93,
E-18,11,3,1,0,0,0,96,
F-18,11.04536102,3,0,0,0,0,90,
G-18,11.18033989,2,0,0,0,0,78,
H-18,11.40175425,2,0,0,0,0,86,
I-18,11.70469991,2,0,0,0,0,93,
J-18,12.08304597,2,0,0,0,0,91,
K-18,12.52996409,2,0,0,0,0,99,
L-18,13.03840481,1,1,0,0,0,88,
M-18,13.60147051,1,1,0,0,0,85,
N-18,14.2126704,1,1,0,0,0,90,
O-18,14.86606875,1,1,0,0,0,94,
C-19,10.19803903,2,0,0,0,0,85,
D-19,10.04987562,2,0,0,0,0,88,
E-19,10,2,0,0,0,0,82,
F-19,10.04987562,2,0,0,0,0,80,
G-19,10.19803903,2,0,0,0,0,89,
H-19,10.44030651,1,0,0,0,0,78,
I-19,10.77032961,2,0,0,0,0,99,
J-19,11.18033989,2,0,0,0,0,90,
K-19,11.66190379,2,0,0,0,0,88,
L-19,12.20655562,1,1,0,0,0,84,
M-19,12.80624847,1,1,0,0,0,97,
N-19,13.45362405,1,0,0,0,0,92,
O-19,14.14213562,2,0,0,0,0,88,
A-20,9.848857802,2,0,0,0,0,87,
B-20,9.486832981,2,0,0,0,0,93,
C-20,9.219544457,2,0,0,0,0,88,
D-20,9.055385138,2,0,0,0,0,89,
E-20,9,2,0,0,0,0,98,
F-20,9.055385138,1,1,0,0,0,85,
G-20,9.219544457,2,0,0,0,0,82,
H-20,9.486832981,1,0,0,0,0,83,
I-20,9.848857802,2,0,0,0,0,92,
J-20,10.29563014,2,0,0,0,0,96,
K-20,10.81665383,1,1,0,0,0,88,
L-20,11.40175425,1,1,0,0,0,84,
M-20,12.04159458,1,1,0,0,0,87,
N-20,12.72792206,2,0,0,0,0,97,
O-20,13.45362405,2,0,0,0,0,94,
A-21,8.94427191,2,0,0,0,0,83,
B-21,8.544003745,2,0,0,0,0,84,
C-21,8.246211251,2,0,0,0,0,83,
D-21,8.062257748,2,0,0,0,0,98,
E-21,8,2,0,0,0,0,89,
F-21,8.062257748,2,0,0,0,0,74,
G-21,8.246211251,2,0,0,0,0,77,
H-21,8.544003745,1,0,0,0,0,80,
I-21,8.94427191,2,0,0,0,0,87,
J-21,9.433981132,1,1,0,0,0,81,
K-21,10,1,1,0,0,0,76,
L-21,10.63014581,1,1,0,0,0,95,
M-21,11.3137085,2,0,0,0,0,83,
N-21,12.04159458,2,0,0,0,0,98,
O-21,12.80624847,2,0,0,0,0,94,
B-22,7.615773106,2,0,0,0,0,92,
C-22,7.280109889,2,0,0,0,0,87,
D-22,7.071067812,2,0,0,0,0,83,
E-22,7,2,0,0,0,0,87,
F-22,7.071067812,2,0,0,0,0,77,
