Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,PL (dB),Comments
Q-9,10.3194,0,0,1,0,0,0,70,Receiver reference at  -30 dBm
R-9,10.9244,0,0,1,0,0,0,77,
S-9,11.6562,0,0,0,3,1,0,81,
T-9,12.4925,0,0,1,2,0,0,81,
U-9,13.4138,0,0,1,2,0,0,80,
V-9,14.4038,0,1,1,1,0,0,81,
A-10,19.4006,2,0,0,1,0,1,84,
B-10,18.1792,2,0,0,1,0,1,93,
G-10,12.4925,0,0,0,1,1,0,87,
H-10,11.4976,0,0,0,1,0,0,79,
I-10,10.5829,0,0,0,1,0,0,76,
J-10,9.7710,0,0,0,1,0,0,76,
K-10,9.0896,0,0,0,1,0,0,71,
L-10,8.5698,0,0,0,1,0,0,71,
M-10,8.2421,0,0,0,1,0,0,72,
N-10,8.1300,0,0,1,0,1,0,71,
O-10,8.2421,0,0,1,0,1,0,73,
P-10,8.5698,0,0,1,0,0,0,72,
Q-10,9.0896,0,0,1,0,0,0,73,
T-10,11.4976,0,0,0,2,0,0,78,
U-10,12.4925,0,0,0,1,0,0,71,
V-10,13.5500,0,0,0,2,0,0,80,
A-11,18.8730,2,0,0,1,0,1,84,
B-11,17.6150,2,0,0,1,0,1,81,
C-11,16.3725,2,0,0,1,0,1,92,
G-11,11.6562,0,0,0,1,1,0,78,
H-11,10.5829,0,0,0,1,1,0,74,
I-11,9.5813,0,0,0,1,0,0,75,
J-11,8.6762,0,0,0,1,0,0,70,
K-11,7.9009,0,0,0,1,0,0,70,
L-11,7.2969,0,0,0,1,0,0,72,
M-11,6.9092,0,0,1,0,0,0,68,
N-11,6.7750,0,0,1,0,1,0,74,
O-11,6.9092,0,0,1,0,1,0,74,
P-11,7.2969,0,0,1,0,0,0,80,
Q-11,7.9009,0,0,0,1,0,0,72,
R-11,8.6762,0,0,0,1,0,0,75,
T-11,10.5829,0,0,0,1,0,0,78,
U-11,11.6562,0,0,0,1,1,0,79,
V-11,12.7830,0,0,0,1,1,0,74,
W-11,13.9506,0,0,0,3,0,0,73,
A-12,18.4300,2,0,0,1,0,1,83,
B-12,17.1395,2,0,0,1,0,1,98,
C-12,15.8599,2,0,0,1,0,1,99,
G-12,10.9244,0,0,0,1,1,0,74,
H-12,9.7710,0,0,0,1,1,0,78,
I-12,8.6762,0,0,0,1,1,0,84,
J-12,7.6650,0,0,0,1,0,0,70,
K-12,6.7750,0,0,0,1,0,0,81,
L-12,6.0597,0,0,0,1,0,0,71,
M-12,5.5868,0,0,1,0,0,0,70,
N-12,5.4200,0,0,1,0,1,0,70,
O-12,5.5868,0,0,1,0,1,0,72,
P-12,6.0597,0,0,1,0,0,0,68,
Q-12,6.7750,0,0,1,0,0,0,67,
R-12,7.6650,0,0,0,1,0,0,75,
S-12,8.6762,0,0,0,1,0,0,76,
T-12,9.7710,0,0,0,1,0,0,75,
U-12,10.9244,0,0,0,2,1,0,85,
V-12,12.1195,0,0,1,2,0,0,77,
A-13,18.0780,0,0,0,1,0,0,81,
B-13,16.7604,0,0,0,1,0,0,84,
C-13,15.4494,0,0,0,1,0,0,89,
G-13,10.3194,0,0,0,1,0,0,73,
H-13,9.0896,0,0,0,1,0,0,71,
I-13,7.9009,0,0,0,1,1,0,92,
J-13,6.7750,0,0,0,1,1,0,87,
K-13,5.7488,0,0,0,1,0,0,68,Receiver reference at  -30 dBm
L-13,4.8855,0,0,0,1,0,0,71,Receiver reference at  -30 dBm
M-13,4.2849,0,0,1,0,0,0,67,Receiver reference at  -30 dBm
N-13,4.0650,0,0,1,0,0,0,70,Receiver reference at  -30 dBm
O-13,4.2849,0,0,1,0,0,0,73,Receiver reference at  -30 dBm
P-13,4.8855,0,0,1,0,0,0,70,Receiver reference at  -30 dBm
Q-13,5.7488,0,0,0,1,0,0,76,Receiver reference at  -30 dBm
R-13,6.7750,0,0,0,1,0,0,74,Receiver reference at  -30 dBm
S-13,7.9009,0,0,0,2,1,0,82,
T-13,9.0896,0,0,0,2,0,0,73,
U-13,10.3194,0,0,0,3,0,0,81,
V-13,11.5771,0,0,0,3,0,0,77,
W-13,12.8547,0,0,0,3,0,0,76,
A-14,17.8222,0,0,0,1,1,0,92,
B-14,16.4843,0,0,0,1,1,0,89,
C-14,15.1494,0,0,0,1,1,0,96,
