Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,PL (dB),Comments
B-1,26.05704223,0,0,0,1,0,0,90,
C-1,25.23372495,0,0,0,1,0,0,102,
D-1,24.45780755,0,0,0,1,0,0,96,
E-1,23.73393931,0,0,0,1,0,0,106,
F-1,23.06702083,0,0,0,1,0,0,88,
B-2,25.0144903,0,0,0,1,0,0,97,
C-2,24.15566497,0,0,0,1,0,0,91,
D-2,23.34394193,0,0,0,1,0,0,97,
E-2,22.58440059,0,0,0,1,0,0,93,
F-2,21.88247529,0,0,0,1,0,0,94,
G-2,21.24387794,0,0,0,1,0,0,93,
H-2,20.67447762,0,0,0,1,1,0,88,
I-2,20.18013256,0,0,0,1,0,0,97,
J-2,19.76647477,0,0,0,1,0,0,88,
C-3,23.10678418,0,0,0,1,0,0,92,
D-3,22.25684052,0,0,0,1,0,0,96,
E-3,21.4588554,0,0,0,1,0,0,83,
F-3,20.71883322,0,0,0,1,0,0,92,
G-3,20.04319523,0,0,0,1,0,0,102,
H-3,19.43865607,0,0,0,1,1,0,91,
I-3,18.91203519,0,0,0,1,1,0,89,
J-3,18.46999865,0,0,0,1,0,0,88,
K-3,18.11873823,0,0,0,1,0,0,78,
L-3,17.86360966,0,0,1,0,0,0,82,
M-3,17.70876831,0,0,1,0,0,0,88,
N-3,17.65685278,0,0,1,0,1,0,83,
A-4,24.0031675,0,0,0,1,1,0,91,
C-4,22.09123921,0,0,0,1,0,0,86,
D-4,21.20062086,0,0,0,1,0,0,85,
E-4,20.36128311,0,0,0,1,0,0,97,
F-4,19.57982188,0,0,0,1,0,0,80,
G-4,18.86343155,0,0,0,1,0,0,83,
H-4,18.21978938,0,0,0,1,0,0,93,
I-4,17.65685278,0,0,0,1,1,0,82,
M-4,16.36153569,0,0,1,0,0,0,74,
N-4,16.30533118,0,0,1,0,1,0,79,
O-4,16.36153569,0,0,1,0,1,0,92,
P-4,16.52900254,0,0,1,0,1,0,78,
Q-4,16.80440567,0,0,1,0,0,0,83,
R-4,17.18255583,0,0,1,0,0,0,83,
A-5,23.10678418,0,0,0,1,1,0,95,
C-5,21.11384084,0,0,0,1,0,0,87,
D-5,20.18013256,0,0,0,1,0,0,104,
E-5,19.29645758,0,0,0,1,0,0,92,
F-5,18.46999865,0,0,0,1,0,0,81,
G-5,17.70876831,0,0,0,1,0,0,75,
H-5,17.0215202,0,0,0,1,0,0,86,
I-5,16.41754778,0,0,0,1,1,0,102,
J-5,15.90633993,0,0,0,1,0,0,100,
N-5,14.95443914,0,0,1,0,1,0,86,
O-5,15.01570095,0,0,1,0,1,0,81,
P-5,15.1980048,0,0,1,0,1,0,72,
Q-5,15.49707956,0,0,1,0,0,0,90,
R-5,15.90633993,0,0,1,0,0,0,92,
S-5,16.41754778,0,0,1,0,0,0,87,
T-5,17.0215202,0,0,1,0,0,0,90,
U-5,17.70876831,0,0,1,0,0,0,90,
V-5,18.46999865,0,0,0,1,0,0,84,
A-6,22.25684052,0,0,0,1,1,0,94,
C-6,20.18013256,0,0,0,1,1,0,98,
D-6,19.20107354,0,0,0,1,0,0,90,
E-6,18.27010536,0,0,0,1,0,0,93,
F-6,17.39495114,0,0,0,1,0,0,95,
G-6,16.58444904,0,0,0,1,0,0,77,
H-6,15.84852122,0,0,0,1,0,0,82,
I-6,15.1980048,0,0,0,1,0,0,78,
J-6,14.64428643,0,0,0,1,1,0,96,
N-6,13.60436419,0,0,1,0,1,0,84,
O-6,13.67167693,0,0,1,0,1,0,81,
