Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
O-9,22.36067977,,,,0,0,NP,
P-9,22.82542442,,,,0,0,NP,
A-10,19.41648784,4,2,0,0,0,-100,
B-10,19.23538406,4,2,0,0,0,-94,
C-10,19.10497317,4,2,0,0,0,-93,
D-10,19.02629759,4,2,0,0,0,-96,
E-10,19,4,2,0,0,0,-93,
F-10,19.02629759,4,2,0,0,0,-80,
G-10,19.10497317,3,0,0,0,0,-78,
H-10,19.23538406,2,1,0,0,0,-73,
I-10,19.41648784,4,0,0,0,0,-108,
J-10,19.6468827,3,0,0,0,0,-92,
K-10,19.92485885,3,1,0,0,0,-94,
L-10,20.24845673,3,0,0,0,0,-86,
M-10,20.61552813,3,0,0,0,0,-91,
N-10,21.02379604,3,0,0,0,0,-97,
O-10,21.47091055,3,2,0,0,0,-97,
P-10,21.9544984,3,2,0,0,0,-102,
A-11,18.43908891,4,2,0,0,0,-95,
B-11,18.24828759,4,2,0,0,0,-98,
C-11,18.11077028,4,2,0,0,0,-94,
D-11,18.02775638,4,2,0,0,0,-96,
E-11,18,4,2,0,0,0,-89,
F-11,18.02775638,4,2,0,0,0,-75,
G-11,18.11077028,2,1,0,0,0,-74,
H-11,18.24828759,2,0,0,0,0,-74,
I-11,18.43908891,3,0,0,0,0,-94,
J-11,18.68154169,3,0,0,0,0,-92,
K-11,18.97366596,3,0,0,0,0,-91,
L-11,19.31320792,3,0,0,0,0,-87,
M-11,19.6977156,3,0,0,0,0,-93,
N-11,20.1246118,3,0,0,0,0,-99,
O-11,20.59126028,3,2,0,0,0,-104,
P-11,21.09502311,3,2,0,0,0,-106,
A-12,17.4642492,4,2,0,0,0,-106,
B-12,17.2626765,4,2,0,0,0,-104,
C-12,17.11724277,4,2,0,0,0,-99,
D-12,17.02938637,4,2,0,0,0,-92,
E-12,17,4,2,0,0,0,-92,
F-12,17.02938637,4,2,0,0,0,-88,
G-12,17.11724277,2,1,0,0,0,-84,
H-12,17.2626765,2,0,0,0,0,-78,
I-12,17.4642492,3,0,0,0,0,-93,
J-12,17.72004515,3,0,1,0,0,-98,
K-12,18.02775638,3,0,0,0,0,-92,
L-12,18.38477631,,,,0,0,NP,
M-12,18.78829423,3,0,0,0,0,-103,
N-12,19.23538406,3,2,0,0,0,-92,
O-12,19.72308292,3,2,0,0,0,-101,
P-12,20.24845673,3,2,0,0,0,-94,
A-13,16.4924225,3,1,0,0,0,-82,
B-13,16.2788206,3,1,0,0,0,-84,
C-13,16.1245155,3,1,0,0,0,-84,
D-13,16.03121954,3,1,0,0,0,-87,
E-13,16,3,1,0,0,0,-85,
F-13,16.03121954,3,1,0,0,0,-77,
G-13,16.1245155,2,1,0,0,0,-81,
H-13,16.2788206,2,0,0,0,0,-75,
I-13,16.4924225,2,0,0,0,0,-96,
J-13,16.76305461,3,1,0,0,0,-89,
K-13,17.08800749,,,,0,0,NP,
L-13,17.4642492,3,0,0,0,0,-90,
M-13,17.88854382,3,2,0,0,0,-105,
N-13,18.35755975,3,2,0,0,0,-99,
O-13,18.86796226,,,,0,0,NP,
P-13,19.41648784,3,2,0,0,0,-103,
A-14,15.5241747,3,1,0,0,0,-83,
B-14,15.29705854,3,1,0,0,0,-88,
C-14,15.13274595,3,1,0,0,0,-85,
D-14,15.03329638,3,1,0,0,0,-89,
E-14,15,3,1,0,0,0,-83,
F-14,15.03329638,3,1,0,0,0,-76,
G-14,15.13274595,1,1,0,0,0,-75,
H-14,15.29705854,2,0,0,0,0,-87,
