Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
D-7,18.2297,0,0,0,1,1,-70,
E-7,17.2463,0,0,0,1,0,-69,
F-7,16.3164,0,0,0,1,0,-63,
G-7,15.4494,0,0,0,1,0,-77,
H-7,14.6566,0,0,0,1,0,-75,
I-7,13.9506,0,0,0,1,0,-69,
J-7,13.3452,0,0,0,1,1,-78,
K-7,12.8547,0,0,0,1,0,-62,
L-7,12.4925,,,,,,NP,
M-7,12.27,,,,,,NP,
N-7,12.195,,,,,,NP,
O-7,12.27,0,0,1,0,1,-71,
P-7,12.4925,0,0,1,0,0,-70,
Q-7,12.8547,0,0,1,0,0,-82,
R-7,13.3452,0,0,1,0,0,-76,
S-7,13.9506,0,0,1,0,0,-74,
T-7,14.6566,,,,,,NP,
U-7,15.4494,,,,,,NP,
V-7,16.3164,0,0,1,2,0,-82,
W-7,17.2463,0,0,1,2,0,-75,
X-7,18.2297,,,,,,NP,
Y-7,19.2582,,,,,,NP,
A-8,20.6832,1,0,0,1,1,-78,
B-8,19.5421,1,0,0,1,1,-77,
C-8,18.43,0,0,0,1,1,-75,
D-8,17.3525,0,0,0,1,1,-69,
E-8,16.3164,0,0,0,1,2,-78,
F-8,15.3301,0,0,0,1,0,-64,
G-8,14.4038,0,0,0,1,0,-69,
H-8,13.55,0,0,0,1,0,-72,
I-8,12.783,0,0,0,1,0,-69,
J-8,12.1195,0,0,0,1,0,-68,
K-8,11.5771,0,0,0,1,0,-65,
L-8,11.1736,0,0,0,1,0,-75,
M-8,10.9244,0,0,0,1,0,-68,
N-8,10.84,0,0,1,0,1,-72,
O-8,10.9244,0,0,1,0,1,-59,
P-8,11.1736,0,0,1,0,0,-64,
Q-8,11.5771,0,0,1,0,0,-61,
R-8,12.1195,0,0,1,0,0,-60,
S-8,12.783,,,,,,NP,
T-8,13.55,,,,,,NP,
U-8,14.4038,,,,,,NP,
V-8,15.3301,0,0,1,2,0,-82,
W-8,16.3164,0,0,1,2,0,-77,
X-8,17.3525,,,,,,NP,
Y-8,18.43,,,,,,NP,
A-9,20.0063,0,0,0,1,0,-70,
B-9,18.8243,0,0,0,1,0,-70,
C-9,17.667,0,0,0,1,1,-75,
D-9,16.5399,0,0,0,1,1,-73,
E-9,15.4494,0,0,0,1,1,-68,
F-9,14.4038,0,0,0,1,2,-66,
G-9,13.4138,0,0,0,1,1,-63,
H-9,12.4925,0,0,0,1,0,-64,
I-9,11.6562,0,0,0,1,0,-58,
J-9,10.9244,0,0,0,1,0,-76,
K-9,10.3194,0,0,0,1,1,-64,
L-9,9.8645,0,0,0,1,0,-61,
M-9,9.5813,0,0,0,1,0,-67,
N-9,9.485,0,0,1,0,1,-70,
O-9,9.5813,0,0,1,0,1,-54,
P-9,9.8645,0,0,1,0,0,-63,
Q-9,10.3194,0,0,1,0,0,-60,
