PL_fs,PL_Log_Dist1,PL_Log_Dist2,PL_Log_Dist11,Distancia
58.2868936131782,123.297459068379,90.1120381917404,105.66409104478,28
58.3746328570327,115.92211340303,88.3596608344344,107.531418195949,28.28427125
57.9710082695136,119.189084411155,88.047633887525,107.666128678863,27
57.6496196723456,115.302357801561,85.2474018817769,109.839996501724,26.01922366
57.4123132807177,117.969533279636,85.7308585441541,106.077078671338,25.3179778
57.4123132807177,119.880148721437,87.3417629000338,105.851538714785,25.3179778
57.4728665534561,117.223999572986,82.9997972121935,106.457204785166,25.49509757
57.5457475797156,120.335633694527,84.8786093738583,105.614263712401,25.70992026
57.0669500531372,118.991412541653,84.5485839330998,106.914525555003,24.33105012
57.0152916453975,118.83493199243,84.1631784476972,105.334661915349,24.18677324
56.9780129228344,118.186012185174,81.9999902541715,103.141184166397,24.08318916
56.9554911182786,120.798015216887,86.7776557385484,104.450459294742,24.0208243
56.9780129228344,119.621150064828,85.3568691760201,102.959864947669,24.08318916
57.0669500531372,120.401273549504,86.1664472889531,103.276143763169,24.33105012
56.192186602778,115.79051784124,81.5111411131797,101.551751464966,22
56.2011503741135,114.711336141753,80.9255815591653,105.726134165585,22.02271555
55.0257502262491,112.018369759535,81.2513614685151,104.271349308759,19.23538406
54.9308186914644,116.214058601734,80.6913158583646,101.96193546459,19.02629759
54.9666616288332,118.099006694678,77.9317443071027,101.303806893047,19.10497317
55.0257502262491,116.665606004311,81.8527387175458,99.4600161707737,19.23538406
55.4715715529664,114.882030140958,79.6227689768508,102.595944776425,20.24845673
56.1742033686827,116.29409920965,81.5986996747638,103.385972409312,21.9544984
54.5681753209712,111.695625624737,81.1152526211301,99.706676875815,18.24828759
54.4625665974138,114.141016337321,76.6867456279706,99.0434435669221,18.02775638
54.4625665974138,113.064264144095,78.2249297480377,99.3797667236386,18.02775638
55.6173915514285,117.024209707403,85.8525152380195,101.715058739589,20.59126028
55.8273330962547,115.918907435912,80.7995782019585,102.101850453168,21.09502311
53.9677129674011,110.991185258849,78.5651313404819,99.4447706532027,17.02938637
54.1867313815061,113.567733324362,75.7441456142757,99.8895577696823,17.4642492
54.4625665974138,112.350596513195,80.7923608570375,105.185990952391,18.02775638
55.4715715529664,117.273913509126,80.1201352497857,100.329423338386,20.24845673
53.576191727783,114.874292362425,76.8878840839371,98.4497903511985,16.2788206
53.4430642186274,111.806414721133,78.8887458896187,98.7784601179644,16.03121954
53.6894220253746,112.135708640487,78.2491928500997,99.9533674921656,16.4924225
54.1867313815061,112.867265522553,80.2221927488561,98.5623023474367,17.4642492
52.9420878094907,112.153658401355,78.7003475381527,97.7754918584667,15.13274595
52.4612715949038,112.579640166255,73.6008097823667,95.4637203251806,14.31782106
52.2883952494237,106.351508294591,78.0153816834641,96.1668705690758,14.03566885
52.4612715949038,107.944092231278,79.2357705026849,98.8702728766618,14.31782106
52.0154502711715,110.921200094992,74.9947804423215,95.6351923698641,13.60147051
51.7241940189651,106.945806950928,74.5137124210741,97.296019798401,13.15294644
51.6226000324706,110.982215434334,73.8661809919854,96.853293495731,13
51.3849328124306,104.488327967799,72.8712519666169,94.5628664541518,12.64911064
50.9574130095547,103.781967661623,71.3587900345159,97.8774574092577,12.04159458
51.0463501398576,103.168539078066,72.7676619029688,95.9955264446702,12.16552506
51.1906472967197,106.487464779094,74.2183286090571,94.3282718289981,12.36931688
51.3849328124306,110.628198825288,70.1662294899961,94.2702900658183,12.64911064
52.5243663348437,108.165787023928,77.3762227799903,99.2394116184393,14.4222051
52.8655581674475,113.316495968157,78.573199201171,96.7090742687777,15
53.2176312487128,116.238009725832,77.8170001595053,97.9128155134965,15.62049935
50.3128331183574,102.272550226979,69.7063317809907,94.3754052381451,11.18033989
50.2073312952932,104.833293142313,70.1536631858594,94.6861073161299,11.04536102
51.3027295131008,107.244834979477,71.5117589140872,98.7593170159388,12.52996409
51.6482221998466,110.208231612834,74.6367033078187,98.23029690677,13.03840481
49.5140663817187,100.886947097175,71.1445202224716,95.3426819464899,10.19803903
49.7179979666464,105.142715269696,68.8636311985315,89.0122976648195,10.44030651
50.6791220702665,108.757288354698,69.9317378374093,93.465639517702,11.66190379
51.0755956734924,106.035307340273,72.6618320527752,92.5619193783729,12.20655562
51.4921714635106,108.681648667932,71.2981384526684,97.5953328975958,12.80624847
49.2114503291761,102.677087995316,72.6812666168763,96.3243153985904,9.848857802
48.6379222432008,101.539679923266,65.9715677832483,92.6258882011795,9.219544457
48.4818715100392,100.995335162314,64.8465326743587,97.420462964182,9.055385138
51.4388831308335,108.342211177364,76.8727625050489,97.3027890668651,12.72792206
51.9205187369149,107.137993320794,76.4660138350558,102.330619433777,13.45362405
47.6688221131483,97.1499320302801,65.9046021101968,90.3169407271417,8.246211251
47.9769615872156,102.195283013436,69.6216330518624,88.7287752017303,8.544003745
50.9574130095547,103.47400881005,73.5501345647903,95.7077341397371,12.04159458
51.4921714635106,111.489184624386,75.9461374088285,96.7875432381702,12.80624847
46.3334330298593,95.755633753941,62.0082391569927,91.597975196873,7.071067812
46.245693786619,97.8099566914158,61.9008489898923,87.4146792577938,7
45.0257502265779,95.1573514803276,60.557078247524,84.7853227714078,6.08276253
45.364332899151,96.3291819910061,60.454953920837,87.0469937561783,6.32455532
46.5037664227686,97.1322161899421,62.0037437393079,84.0591909563849,7.211102551
49.3437329863338,100.993261655048,69.08627137728,93.4010287629597,10
50.6791220702665,108.273278271813,69.1769750707803,96.034361236434,11.66190379
51.3027295131008,107.214204869161,70.9804462291822,93.5873024325932,12.52996409
