PL,P_ladrillo,P_madera,P_vidrio,P_Tablaroca,Columna,Distancia,h_Rx,h_Tx
99,3,1,0,0,0,16.76305461,1.5,1.5
100,3,0,0,0,0,17.4642492,1.5,1.5
115,3,2,0,0,0,17.88854382,1.5,1.5
109,3,2,0,0,0,18.35755975,1.5,1.5
113,3,2,0,0,0,19.41648784,1.5,1.5
93,3,1,0,0,0,15.5241747,1.5,1.5
98,3,1,0,0,0,15.29705854,1.5,1.5
95,3,1,0,0,0,15.13274595,1.5,1.5
99,3,1,0,0,0,15.03329638,1.5,1.5
93,3,1,0,0,0,15,1.5,1.5
86,3,1,0,0,0,15.03329638,1.5,1.5
85,1,1,0,0,0,15.13274595,1.5,1.5
97,2,0,0,0,0,15.29705854,1.5,1.5
97,3,1,0,0,0,15.5241747,1.5,1.5
97,3,0,0,0,0,15.8113883,1.5,1.5
99,3,0,0,0,0,16.55294536,1.5,1.5
90,3,1,0,0,0,14.56021978,1.5,1.5
99,3,1,0,0,0,14.31782106,1.5,1.5
96,3,1,0,0,0,14.14213562,1.5,1.5
95,3,1,0,0,0,14.03566885,1.5,1.5
98,3,1,0,0,0,14,1.5,1.5
84,3,0,0,0,0,14.03566885,1.5,1.5
87,2,0,0,0,0,14.14213562,1.5,1.5
86,2,0,0,0,0,14.31782106,1.5,1.5
110,3,0,0,0,0,14.56021978,1.5,1.5
109,3,0,0,0,0,14.86606875,1.5,1.5
94,3,0,0,0,0,15.65247584,1.5,1.5
93,3,1,0,0,0,13.60147051,1.5,1.5
91,3,1,0,0,0,13.34166406,1.5,1.5
91,3,1,0,0,0,13.15294644,1.5,1.5
93,3,1,0,0,0,13.03840481,1.5,1.5
88,3,1,0,0,0,13,1.5,1.5
84,3,0,0,0,0,13.03840481,1.5,1.5
89,2,0,0,0,0,13.15294644,1.5,1.5
86,2,0,0,0,0,13.34166406,1.5,1.5
88,3,0,0,0,0,13.60147051,1.5,1.5
92,3,0,0,0,0,13.92838828,1.5,1.5
92,3,1,0,0,0,12.64911064,1.5,1.5
91,3,1,0,0,0,12.36931688,1.5,1.5
95,3,1,0,0,0,12.16552506,1.5,1.5
92,3,1,0,0,0,12.04159458,1.5,1.5
93,3,1,0,0,0,12,1.5,1.5
87,3,0,0,0,0,12.04159458,1.5,1.5
92,2,0,0,0,0,12.16552506,1.5,1.5
85,2,0,0,0,0,12.36931688,1.5,1.5
104,2,0,0,0,0,12.64911064,1.5,1.5
92,2,0,0,0,0,13,1.5,1.5
88,2,0,0,0,0,13.41640786,1.5,1.5
85,1,1,0,0,0,14.4222051,1.5,1.5
97,1,1,0,0,0,15,1.5,1.5
86,1,1,0,0,0,15.62049935,1.5,1.5
82,2,0,0,0,0,16.2788206,1.5,1.5
90,3,1,0,0,0,11.70469991,1.5,1.5
94,3,1,0,0,0,11.40175425,1.5,1.5
89,3,1,0,0,0,11.18033989,1.5,1.5
93,3,1,0,0,0,11.04536102,1.5,1.5
96,3,1,0,0,0,11,1.5,1.5
90,3,0,0,0,0,11.04536102,1.5,1.5
78,2,0,0,0,0,11.18033989,1.5,1.5
86,2,0,0,0,0,11.40175425,1.5,1.5
93,2,0,0,0,0,11.70469991,1.5,1.5
91,2,0,0,0,0,12.08304597,1.5,1.5
99,2,0,0,0,0,12.52996409,1.5,1.5
88,1,1,0,0,0,13.03840481,1.5,1.5
85,1,1,0,0,0,13.60147051,1.5,1.5
90,1,1,0,0,0,14.2126704,1.5,1.5
94,1,1,0,0,0,14.86606875,1.5,1.5
85,2,0,0,0,0,10.19803903,1.5,1.5
88,2,0,0,0,0,10.04987562,1.5,1.5
82,2,0,0,0,0,10,1.5,1.5
80,2,0,0,0,0,10.04987562,1.5,1.5
89,2,0,0,0,0,10.19803903,1.5,1.5
78,1,0,0,0,0,10.44030651,1.5,1.5
99,2,0,0,0,0,10.77032961,1.5,1.5
90,2,0,0,0,0,11.18033989,1.5,1.5
88,2,0,0,0,0,11.66190379,1.5,1.5
84,1,1,0,0,0,12.20655562,1.5,1.5
97,1,1,0,0,0,12.80624847,1.5,1.5
92,1,0,0,0,0,13.45362405,1.5,1.5
88,2,0,0,0,0,14.14213562,1.5,1.5
87,2,0,0,0,0,9.848857802,1.5,1.5
93,2,0,0,0,0,9.486832981,1.5,1.5
88,2,0,0,0,0,9.219544457,1.5,1.5
89,2,0,0,0,0,9.055385138,1.5,1.5
98,2,0,0,0,0,9,1.5,1.5
85,1,1,0,0,0,9.055385138,1.5,1.5
82,2,0,0,0,0,9.219544457,1.5,1.5
83,1,0,0,0,0,9.486832981,1.5,1.5
92,2,0,0,0,0,9.848857802,1.5,1.5
96,2,0,0,0,0,10.29563014,1.5,1.5
88,1,1,0,0,0,10.81665383,1.5,1.5
84,1,1,0,0,0,11.40175425,1.5,1.5
87,1,1,0,0,0,12.04159458,1.5,1.5
97,2,0,0,0,0,12.72792206,1.5,1.5
94,2,0,0,0,0,13.45362405,1.5,1.5
83,2,0,0,0,0,8.94427191,1.5,1.5
84,2,0,0,0,0,8.544003745,1.5,1.5
83,2,0,0,0,0,8.246211251,1.5,1.5
98,2,0,0,0,0,8.062257748,1.5,1.5
89,2,0,0,0,0,8,1.5,1.5
74,2,0,0,0,0,8.062257748,1.5,1.5
77,2,0,0,0,0,8.246211251,1.5,1.5
80,1,0,0,0,0,8.544003745,1.5,1.5
87,2,0,0,0,0,8.94427191,1.5,1.5
81,1,1,0,0,0,9.433981132,1.5,1.5
76,1,1,0,0,0,10,1.5,1.5
95,1,1,0,0,0,10.63014581,1.5,1.5
83,2,0,0,0,0,11.3137085,1.5,1.5
98,2,0,0,0,0,12.04159458,1.5,1.5
94,2,0,0,0,0,12.80624847,1.5,1.5
92,2,0,0,0,0,7.615773106,1.5,1.5
87,2,0,0,0,0,7.280109889,1.5,1.5
83,2,0,0,0,0,7.071067812,1.5,1.5
87,2,0,0,0,0,7,1.5,1.5
77,2,0,0,0,0,7.071067812,1.5,1.5
79,2,0,0,0,0,7.280109889,1.5,1.5
75,1,0,0,0,0,7.615773106,1.5,1.5
